,mean_swrad,year,month,day,geoid,min_snow,max_snow,range_snow,mean_snow,std_snow,sum_snow,snowlag_1,snowlag_2,snowlag_3,min_rain,max_rain,range_rain,mean_rain,std_rain,sum_rain,rainlag_1,rainlag_2,rainlag_3,min_tempmin,max_tempmin,range_tempmin,mean_tempmin,std_tempmin,sum_tempmin,tempminlag_1,tempminlag_2,tempminlag_3,min_tempmax,max_tempmax,range_tempmax,mean_tempmax,std_tempmax,sum_tempmax,tempmaxlag_1,tempmaxlag_2,tempmaxlag_3
12,5.0600057000000005,1979,10,16,1001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036019293,41.034434999999995,46.906784,37.872345,43.551086,33.292713,17404.836,37.35627,39.275271999999994,47.656284,73.549995,78.601151,37.051159000000006,75.672318,32.662537,65715.156,71.491219,73.64585100000001,78.78772
13,4.8577752,1979,10,17,1001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.882659999999994,53.548481,36.665821,51.219184999999996,33.140087,28937.654,43.551086,37.35627,39.275271999999994,76.741608,81.242287,36.500679,78.96893299999999,32.592017999999996,70673.289,75.672318,71.491219,73.64585100000001
14,4.999812599999999,1979,10,18,1001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.096863,55.602341,36.505478000000004,53.336056000000006,33.137733000000004,32121.43,51.219184999999996,43.551086,37.35627,80.371071,82.926514,34.555443,81.13298,32.412655,73928.0,78.96893299999999,75.672318,71.491219
15,4.9253516,1979,10,19,1001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.572575,56.290237,36.717663,53.451954,32.805733000000004,32295.736,53.336056000000006,51.219184999999996,43.551086,81.879227,83.90933199999999,34.030109,82.31694,32.360771,75708.688,81.13298,78.96893299999999,75.672318
16,5.0093322,1979,10,20,1001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.902504,57.132324,35.229820000000004,55.29713100000001,32.772148,35070.883,53.451954,53.336056000000006,51.219184999999996,82.290253,85.59761,35.307358,83.408592,32.586052,77350.523,82.31694,81.13298,78.96893299999999
17,4.846074099999999,1979,10,21,1001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.279518,61.658733,35.379211,59.491333,32.850887,41378.965,55.29713100000001,53.451954,53.336056000000006,82.90140500000001,86.57106,35.669659,84.01550300000001,32.62735,78263.313,83.408592,82.31694,81.13298
18,4.1712384,1979,10,22,1001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030519346,0.030519346,0.0058052847,0.0068061799,8.7311478,0.0,0.0,0.0,52.58427,62.518974,41.934708,58.089439,33.411792999999996,39270.52,59.491333,55.29713100000001,53.451954,82.934021,85.68306700000001,34.74905,83.66387900000001,32.396865999999996,77734.477,84.01550300000001,83.408592,82.31694
19,5.0418162,1979,10,23,1001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24430871,0.57606757,0.33175883,0.45640397,0.070822768,686.4315799999999,0.0058052847,0.0,0.0,40.301952,49.547816999999995,41.245865,44.785709000000004,33.063217,19261.707,58.089439,59.491333,55.29713100000001,73.900436,81.266678,39.366245,77.474724,33.311993,68425.984,83.66387900000001,84.01550300000001,83.408592
20,5.0366402,1979,10,24,1001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45640397,0.0058052847,0.0,35.42046,40.933201000000004,37.512741,38.018749,32.724979,9084.2012,44.785709000000004,58.089439,59.491333,67.224533,68.832367,33.60783,68.05699200000001,32.334801,54261.719000000005,77.474724,83.66387900000001,84.01550300000001
21,4.912015900000001,1979,10,25,1001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45640397,0.0058052847,37.753292,41.147053,35.393761,38.999977,32.745426,10559.966999999999,38.018749,44.785709000000004,58.089439,68.693161,71.446228,34.753063,69.79879,32.676704,56881.383,68.05699200000001,77.474724,83.66387900000001
22,4.8523288,1979,10,26,1001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45640397,38.052459999999996,41.833263,35.780803999999996,39.58144,32.874001,11434.483999999999,38.999977,38.018749,44.785709000000004,72.404686,75.836182,35.431492,73.139641,32.596909000000004,61906.027,69.79879,68.05699200000001,77.474724
23,4.807361599999999,1979,10,27,1001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.140285,45.216827,37.076546,41.615704,32.93705,14494.018999999998,39.58144,38.999977,38.018749,74.494675,78.298744,35.80407,75.62361899999999,32.68742,65641.914,73.139641,69.79879,68.05699200000001
